title,project_number,applicants,field,procedure,funding,url,error
2D-Analyse des Interface-Spannungsverhaltens in einem Graphen-Einzelschicht-Nanocomposite,428426608,Professor Dr.-Ing. Wilfried Becker,Mechanik,Sachbeihilfen Internationaler Bezug Bulgarien Kooperationspartnerinnen Professorin Dr. Jordanka Ivanova ; Professorin Dr. Elisaveta Kirilova ; Professorin Dr. Tatyana Petrova,Förderung von 2019 bis 2020,https://gepris.dfg.de/gepris/projekt/428426608,
"2-D Basin Modelling of the Limón Back-arc Basin, Costa Rica",5437864,in Professorin Dr. Jutta Winsemann,Paläontologie,Sachbeihilfen,Förderung von 2004 bis 2010,https://gepris.dfg.de/gepris/projekt/5437864,
2-dimensionales Imprägnierverhalten hochviskoser Thermoplaste in ebenen Faserstrukturen,24982992,"Professor Dr.-Ing. Peter Mitschang , seit 12/2009",Kunststofftechnik,"Sachbeihilfen Ehemaliger Antragsteller Professor Dr.-Ing. Alois K. Schlarb , von 2/2006 bis 12/2009",Förderung von 2006 bis 2009,https://gepris.dfg.de/gepris/projekt/24982992,
2Dimensionale van der Waals Spin-Orbit-Torque Technologie,471797209,Professor Dr. Christian Back ; Professor Dr. Jaroslav Fabian,Theoretische Physik der kondensierten Materie,Sachbeihilfen Internationaler Bezug Schweden Kooperationspartner Professor Dr. Saroj Dash,Förderung seit 2021,https://gepris.dfg.de/gepris/projekt/471797209,
2-Dimensional Ion Conducting Bismuth Vanadates for Electrochemical Devices,198685931,Professor Dr.-Ing. Ralf Moos,Experimentelle Physik der kondensierten Materie,Sachbeihilfen,Förderung von 2012 bis 2016,https://gepris.dfg.de/gepris/projekt/198685931,
2D-Leuchtdioden mit lateralem Auskoppeltaper,5089328,Professor Dr. Karl Joachim Ebeling,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme, Sensorik, Theoretische Elektrotechnik",Sachbeihilfen,Förderung von 1997 bis 2003,https://gepris.dfg.de/gepris/projekt/5089328,
2D Magnetische Speicher: Skalierbares Wachstum und hybrider elektrischer Betrieb,471731263,Professor Dr. Stuart Parkin,Experimentelle Physik der kondensierten Materie,"Sachbeihilfen Internationaler Bezug Frankreich, Spanien Kooperationspartnerinnen / Kooperationspartner Frédéric Bonell ; Dr. Regina Galceran ; Professor Dr. Aurelien Manchon",Förderung seit 2021,https://gepris.dfg.de/gepris/projekt/471731263,
2D- und 3D-Materialdesign für Operando-Techniken in der Bioelektrokatalyse,545505987,in Professorin Dr. Anna Fischer,"Festkörper- und Oberflächenchemie, Materialsynthese Biochemie Biologische und Biomimetische Chemie Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen, Biophysikalische Chemie",Sachbeihilfen Internationaler Bezug Frankreich Partnerorganisation Agence Nationale de la Recherche / The French National Research Agency Kooperationspartnerin Dr. Elisabeth Lojou,Förderung seit 2024,https://gepris.dfg.de/gepris/projekt/545505987,
2D- und 3D-Singularitäten in piezoelektrischen Strukturen und Mehrschichtsystemen,16832430,Professor Dr.-Ing. Wilfried Becker,Mechanik,Sachbeihilfen,Förderung von 2005 bis 2008,https://gepris.dfg.de/gepris/projekt/16832430,
2D- und 3D-Strukturen auf der Basis von Metallakronenethern,5302006,Professor Dr. Rolf W. Saalfrank,"Organische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 1997 bis 2003,https://gepris.dfg.de/gepris/projekt/5302006,
2D- und 3D- Transmissionsbildgebung mittels Compton-Streuung unter Verwendung verallgemeinerter Radontransformationen,290054006,Dr. Gael Rigaud,"Mathematik Medizinische Physik, Biomedizinische Technik",Sachbeihilfen,Förderung von 2016 bis 2018,https://gepris.dfg.de/gepris/projekt/290054006,
2D und 3D Werkstoff-Morphologien für das reaktive Mikrofügen in der Elektronik,426362670,innen / Antragsteller Dr.-Ing. Heike Bartsch ; Professor Dr. Peter Schaaf,"Herstellung und Eigenschaften von Funktionsmaterialien Beschichtungs- und Oberflächentechnik Mechanische Eigenschaften von metallischen Werkstoffen und ihre mikrostrukturellen Ursachen Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen",Sachbeihilfen,Förderung seit 2019,https://gepris.dfg.de/gepris/projekt/426362670,
"2. Nachwuchsakademie ""Klinische Studien""",134593663,Professor Dr. Martin Wehling,Medizin,Sachbeihilfen,Förderung von 2009 bis 2010,https://gepris.dfg.de/gepris/projekt/134593663,
"2. Philosophisches Symposium der DFG zum Thema „Gedankenexperimente und Narration in der Philosophie“ (Villa Vigoni, 23.-27.03.2020)",445815659,Professor Dr. Hans-Helmuth Gander,Geschichte der Philosophie,Sachbeihilfen Mitverantwortlich(e) Professorin Dr. Elke Brendel,Förderung von 2020 bis 2023,https://gepris.dfg.de/gepris/projekt/445815659,
"2-Vektorbündel, Schleifenräume und Elliptische Objekte",531484544,Professor Dr. Konrad Waldorf,Mathematik,Sachbeihilfen,Förderung seit 2023,https://gepris.dfg.de/gepris/projekt/531484544,
300-GHz-Sender mit steuerbaren holographischen Antennen - HoloOnC,556676862,Professor Dr.-Ing. Dietmar Kissinger ; Professor Dr.-Ing. Christian Waldschmidt,"Kommunikationstechnik und -netze, Hochfrequenztechnik und photonische Systeme, Signalverarbeitung und maschinelles Lernen für die Informationstechnik",Sachbeihilfen,Förderung seit 2025,https://gepris.dfg.de/gepris/projekt/556676862,
31p-MRS Untersucherungen der Muskelfaserverteilung zur individuellen Gestaltung des Kraft-Technik-Trainings im Leistungssport,110550346,Dr. Reinhard Rzanny,"Medizinische Physik, Biomedizinische Technik",Sachbeihilfen,Förderung von 2009 bis 2011,https://gepris.dfg.de/gepris/projekt/110550346,
36Derivation and characterization of pluripotent porcine cells(Ableitung und Charakterisierung pluriopotenter Zellen beim Schwein),182501798,Professor Dr. Heiner Niemann,"Tierzucht, Tierernährung, Tierhaltung Reproduktionsmedizin, Urologie",Sachbeihilfen,Förderung von 2010 bis 2016,https://gepris.dfg.de/gepris/projekt/182501798,
3D-Analyse von Oberflächenschädigungen in metallischen Werkstoffen unter Ermüdungsbelastung,222262440,Professor Dr.-Ing. Peter Lehmann,Messsysteme,Sachbeihilfen,Förderung von 2012 bis 2017,https://gepris.dfg.de/gepris/projekt/222262440,
3D-Biegen von Profilen mit Spannungsüberlagerungen,23344076,Professor Dr.-Ing. A. Erman Tekkaya,"Ur- und Umformtechnik, Additive Fertigungsverfahren",Sachbeihilfen,Förderung von 2006 bis 2011,https://gepris.dfg.de/gepris/projekt/23344076,
3D Bio-Strukturierung mithilfe der selbst-faltenden Polymerschichten,114626003,"in Privatdozentin Dr. Alla Synytska , seit 8/2015","Experimentelle und Theoretische Polymerphysik Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung","Sachbeihilfen Ehemaliger Antragsteller Professor Dr. Leonid Ionov , von 3/2015 bis 8/2015",Förderung von 2009 bis 2020,https://gepris.dfg.de/gepris/projekt/114626003,
3D bipede Fortbewegung von Vögeln auf ebenen und unvorhersagbaren Terrain: Eine integrative Studie zur Kontrolle von Lokomotion sowie Körper- und Beinproportionen,326979688,Dr.-Ing. Emanuel Andrada,"Systematik und Morphologie der Tiere Automatisierungstechnik, Mechatronik, Regelungssysteme, Intelligente Technische Systeme, Robotik",Sachbeihilfen,Förderung von 2017 bis 2021,https://gepris.dfg.de/gepris/projekt/326979688,
