person_number,person_name,address,project_list,url,error
280181940,Professor Dr. Javier Garcia De Abajo,"IBEC- Institute for Bioengineering of Catalonia
Single Molecule BioNanophotonics group
Baldiri Reixac, 15-21
08028 Barcelona
Spanien",Nanopartikuläre Hybridmaterialien mit plasmonisch-verstärktem Aufkonvertierungs-FRET für die multiple Sensorik und optisches Barcoding,https://gepris.dfg.de/gepris/person/280181940,
325489767,"Professor Dr. Daniel Abankwa, Ph.D.","Université du Luxembourg
Department of Life Sciences and Medicine
Cancer Cell Biology and Drug Discovery
7, Avenue des Hauts-Fourneaux
4362 Esch-sur-Alzette
Luxemburg",Untersuchung von nanoskaliger polarisierter Ras Protein Verteilung als Verursacher von Krebs-Stammzelleneigenschaften,https://gepris.dfg.de/gepris/person/325489767,
250929785,"Judit Abardia-Evéquoz, Ph.D.","Goethe-Universität Frankfurt am Main
Fachbereich 12: Informatik und Mathematik
Institut für Mathematik
Postfach 11932
60054 Frankfurt am Main",Isoperimetrische Ungleichungen und Minkowski Bewertungen in einem komplexen Vektorraum,https://gepris.dfg.de/gepris/person/250929785,
1972075,Professor Dr. Rainer Abart,"Universität Wien
UZA 2
Department für Lithosphärenforschung
Josef-Holaubek-Platz 2
1090 Wien
Österreich","Diffusion controlled evolution of reaction microstructures: potential geospeedometers for garnet granulite xenoliths from the lower crust., Non-linear diffusion during phase separation and symplectite formation in alkali feldspar: an experimental and modelling approach (TP8), Der Einfluss von Defektstrukturen an Reaktionsfronten und Scherverformung auf die Kinetik von Spinell-Saumwachstum im System MgO-Al2O3, FOR 741: Nanoscale Processes and Geomaterials Properties, Koordination der Forschungsgruppe 741, Diffusion-diffusive Phasetransformationen in Alkalifeldspat, The effect of water on diffusion-controlled reaction rim growth (TP3), Re-equilibration processes in grain-internal domains: The interrelation of mineral reactions and deformation during metamorphism (TP14), Radiotracer-Diffusion und Leitfähigkeit von Natrium und Kalium in Alkalifeldspat",https://gepris.dfg.de/gepris/person/1972075,
416885804,"Professor Antonio Abate, Ph.D.","Universität Bielefeld
Fakultät für Chemie
Bereich Physikalische Chemie
Arbeitsgruppe Material Science - Joint Lab BiBer
Universitätsstraße 25
33615 Bielefeld",Rasterkraftmikroskop mit Glovebox-Cluster,https://gepris.dfg.de/gepris/person/416885804,
1355128,Professorin Dr. Mona Abaza,"The American University in Cairo
AUC Avenue, P.O. Box 74
New Cairo 11835
Ägypten",Kairener Graffiti als Spiegel politischer und gesellschaftlicher Umbrüche: Eine Untersuchung ikonographischer Dynamiken und Selbstverortungen junger Künstler_innen (seit 2011),https://gepris.dfg.de/gepris/person/1355128,
262300096,Dr. Pascal Abb,"Leibniz-Institut für Friedens- und Konfliktforschung (PRIF)
Programmbereich IV: Innerstaatliche Konflikte
Baseler Straße 27-31
60329 Frankfurt am Main",Chinesische Adaptierung an Konfliktrisiken in der Ära der Belt-and-Road-Initiative: eine Multi-Akteurs-Analyse von Risikoperzeptionen und -reaktionen,https://gepris.dfg.de/gepris/person/262300096,
405571593,"Nathlee Abbai, Ph.D.","University of KwaZulu-Natal (UKZN)
School of Clinical Medicine Laboratory
Durban
Südafrika",Das Wirtsrezeptor-Spektrum von Neisseria gonorrhoeae und Haemophilus ducreyi,https://gepris.dfg.de/gepris/person/405571593,
286980699,Dr. Marco Abbarchi,"Université Aix-Marseille
Institut Matériaux Microélectronique et Nanosciences de Provence
(IM2NP) - UMR CNRS 6242
Avenue Escadrille Normandie Niemen
13397 Marseille
Frankreich",Quanten und klassische Lichtquellen in Silizium: Verunreinigungen und komplexe Defekte für die Nanophotonik,https://gepris.dfg.de/gepris/person/286980699,
1925992,Professor Dr. Abul K. Abbas,"University of California, San Francisco
Department of Pathology
1600 Divisadero Street
San Francisco CA 94143-0506
USA","Funktionelle Regulation des ""activation induced cell death"" (AICD) in CD4+-Lymphozyten",https://gepris.dfg.de/gepris/person/1925992,
